,season_end,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,G,MP,PER,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2015,Quincy Acy,F,24,NYK,52,21,19.2,2.2,4.6,0.469,0.2,0.7,0.28600000000000003,2.0,4.0,0.5,0.9,1.3,0.738,1.3,3.3,4.5,1.0,0.4,0.3,0.9,2.2,5.5,52,996,11.1,0.527,0.145,0.27,13.7,8.1,1.0,1.3,15.1,14.7,0.6,0.5,1.0,0.05,-2.6,-0.7,-3.4,-0.3
1,2015,Jordan Adams,G,20,MEM,18,0,7.3,1.0,2.1,0.474,0.3,0.6,0.455,0.7,1.5,0.48100000000000004,0.3,0.6,0.5,0.1,0.6,0.7,0.4,0.4,0.3,0.4,0.8,2.6,18,131,12.2,0.542,0.289,0.263,5.2,8.3,3.2,3.2,15.9,17.7,0.0,0.2,0.2,0.076,-2.3,1.8,-0.5,0.0
2,2015,Steven Adams,C,21,OKC,51,50,24.2,3.0,5.5,0.55,0.0,0.0,0.0,3.0,5.5,0.552,1.4,2.6,0.527,2.5,4.5,7.0,1.0,0.4,1.2,1.6,3.0,7.4,51,1232,13.7,0.5579999999999999,0.004,0.46799999999999997,15.4,6.1,0.9,4.0,19.2,14.8,1.0,1.8,2.8,0.109,-2.0,2.0,-0.1,0.6
3,2015,Jeff Adrien,F,28,MIN,17,0,12.6,1.1,2.6,0.43200000000000005,0.0,0.0,0.0,1.1,2.6,0.43200000000000005,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,17,215,14.1,0.494,0.0,0.8640000000000001,20.2,10.4,0.9,3.3,12.9,14.1,0.2,0.2,0.4,0.09300000000000001,-2.6,0.8,-1.8,0.0
4,2015,Arron Afflalo,G,29,TOT,60,54,32.5,5.0,11.8,0.426,1.5,4.5,0.345,3.5,7.4,0.475,2.4,2.8,0.8340000000000001,0.4,2.9,3.3,1.9,0.6,0.1,1.6,2.1,14.0,60,1949,11.3,0.534,0.377,0.23800000000000002,5.4,9.3,0.9,0.2,10.9,19.6,1.4,0.7,2.1,0.051,-0.2,-1.4,-1.6,0.2
5,2015,Alexis Ajinca,C,26,NOP,51,6,14.0,2.8,4.8,0.58,0.0,0.0,0.0,2.8,4.8,0.58,1.2,1.5,0.818,1.5,3.1,4.7,0.6,0.3,0.7,1.0,2.3,6.8,51,715,21.2,0.623,0.0,0.317,19.1,7.6,1.1,3.9,15.3,20.8,1.8,0.9,2.7,0.18100000000000002,0.4,0.2,0.7,0.5
6,2015,Furkan Aldemir,F,23,PHI,25,1,10.7,0.6,1.3,0.485,0.0,0.0,0.0,0.6,1.3,0.5,0.2,0.4,0.5,1.7,2.2,3.9,0.6,0.4,0.4,0.4,1.8,1.5,25,267,12.9,0.495,0.03,0.303,20.0,9.6,2.1,3.1,21.1,7.8,0.3,0.4,0.7,0.127,-2.9,3.1,0.2,0.2
7,2015,Cole Aldrich,C,26,NYK,45,12,15.9,2.3,4.8,0.47700000000000004,0.0,0.0,0.0,2.3,4.8,0.47700000000000004,0.7,0.8,0.833,1.7,3.5,5.2,1.0,0.6,0.9,1.0,2.1,5.3,45,715,16.6,0.509,0.0,0.165,19.0,10.5,1.9,5.0,15.5,17.9,0.4,0.9,1.3,0.08900000000000001,-2.6,2.3,-0.3,0.3
8,2015,LaMarcus Aldridge,F,29,POR,54,54,36.2,9.1,20.2,0.45299999999999996,0.5,1.3,0.371,8.6,18.9,0.45799999999999996,4.5,5.2,0.868,2.6,7.9,10.5,1.8,0.7,1.0,1.8,1.9,23.2,54,1956,21.9,0.518,0.064,0.257,15.5,9.1,1.0,2.0,7.3,29.9,3.3,3.2,6.5,0.161,-0.4,0.3,-0.1,0.9
9,2015,Lavoy Allen,F,25,IND,47,0,19.6,2.7,5.5,0.49200000000000005,0.0,0.0,0.0,2.7,5.5,0.49200000000000005,0.6,0.9,0.698,2.3,3.7,6.0,1.3,0.3,0.8,0.7,1.8,6.1,47,922,16.3,0.513,0.0,0.165,17.0,11.1,0.7,3.1,10.0,15.2,1.5,1.4,2.9,0.152,-0.5,2.4,1.9,0.9
10,2015,Tony Allen,G,33,MEM,54,36,25.6,3.5,7.0,0.493,0.1,0.4,0.25,3.4,6.6,0.51,1.3,1.9,0.648,1.6,2.5,4.1,1.4,2.0,0.5,1.3,2.8,8.3,54,1383,14.4,0.527,0.063,0.27699999999999997,9.1,8.3,4.1,1.6,14.1,16.4,0.8,2.6,3.4,0.11800000000000001,-0.3,3.6,3.2,1.8
11,2015,Al-Farouq Aminu,F,24,DAL,60,3,17.0,2.0,4.7,0.423,0.5,1.7,0.272,1.5,3.0,0.511,1.0,1.3,0.7559999999999999,1.3,2.9,4.1,0.7,1.0,0.9,0.7,1.8,5.4,60,1021,15.1,0.515,0.36700000000000005,0.278,13.2,5.6,2.9,4.0,11.8,15.7,0.9,1.7,2.6,0.124,-0.6,3.0,2.3,1.1
